Site Code,Sample code used during field campaign,Ephemeroptera:Leptophlebiidae:Paraleptophlebia_ad,Ephemeroptera:Leptophlebiidae:Paraleptophlebia_juv,Plecoptera:Perlidae:Claassenia_juv,Plecoptera:Perlidae:Claassenia_ad,Plecoptera:Chloropelidae:Sweltsa_ad,Plecoptera:Chloropelidae:Sweltsa_juv,Ephemeroptera:Heptageniidae:Heptagenia_juv,Ephemeroptera:Heptageniidae:Heptagenia_ad,Trichoptera:Sericostomatidae:Gumaga_ad,Ephemeroptera:Heptageniidae:Cinigmula_ad,Ephemeroptera:Heptageniidae:Cinigmula_juv,Plecoptera:Nemouridae:Visoka_catharactae_juv,Plecoptera:Nemouridae:Visoka_catharactae_ad,Plecoptera:Nemouridae:Zapada_juv,Ephemeroptera:Ephemerellidae:Seratella_juv,DIP:Limoniidae:Dicraniota,Oligochaeta:Lumbricidae:Lumbricidae,Oligochaeta:Naididae:Naididae<?,Plathhelminthes:Unknown:Turbellaria,Plecoptera:Peltoperlidae:Yaroperla_juv,Chironomidae:Chironomidae:Tvetenia_IV,Plecoptera:Capniidae:Paracapnia_ad,Plecoptera:Capniidae:Paracapnia_juv,Plecoptera: Perlodidae:Perlomyia_juv,Plecoptera:Unknown:Perlomyia_ad,Trichoptera:Hydropsychidae:Hydropsyche_juv,Trichoptera:Rhyacophylidae:Rhyacophyla_juv,Trichoptera:Rhyacophylidae:Rhyacophyla_ad,Trichoptera:Rhyacophylidae:Rhyacophyla_pup,Chironomidae:Chironomidae:Parametriocnemus_III,Chironomidae:Chironomidae:Parametriocnemus_IV,Chironomidae:Chironomidae:Parametriocnemus_pupa,Plecoptera:Leuctridae:Leuctra_juv,Plecoptera:Leuctridae:Leuctra_ad,Trichoptera:Calamoceratidae:Heteroplectron_ad,Trichoptera:Calamoceratidae:Heteroplectron_juv,Gastropoda:Potomopsidae:Potomopsidae,Ephemeroptera:Heptageniidae:Leucocrocuta_juv,Ephemeroptera:Heptageniidae:Leucocrocuta_ad,Plecoptera:Unknown:Plecoptera sp,Plecoptera: Perlodidae:Yungus_juv,Ephemeroptera:Baetidae:Paracleodeos? ,Trichoptera:Limnephilidae:Ecclissomyia,Ephemeroptera:Ephemerellidae:Drunella doddsii_ad,Odanata:Gomphiidae:Arigomphus_ad,Odanata:Gomphiidae:Arigomphus_juv,Plecoptera:Leuctridae:Zaleuctra_juv,Crustacea:Astacidae:Pacifastacus leunisculus,Plecoptera:Leuctridae:Megaleuctra_ad,Plecoptera:Leuctridae:Megaleuctra_juv,Chironomidae:Chironomidae:Hudsonimyia_III,Chironomidae:Chironomidae:Hudsonimyia_IV,Chironomidae:Chironomidae:Chironomidae,Chironomidae:Chironomidae:Polypedilum_IV,Chironomidae:Chironomidae:Tanytarsus_IV,Ephemeroptera:Ephemerellidae:Ephemerellidae_male_subimago,Diptera:Dixiidae:Dixa_L,Chironomidae:Chironomidae_sp_IV:Chironomidae_sp_IV,Chelicerata:Unknown:Aranea,Coleoptera:Unknown:Coccinelidae_sp_imago,Trichoptera:Goeridae:Pseudogoera_juv,Plecoptera: Perlodidae:Osobenus_juv,Plecoptera:Pteronarcyiidae:Pteronarcys_hatch,Plecoptera:Pteronarcyiidae:Pteronarcys_juv,Ephemeroptera:Baetidae:Baetidae_sp_juv,Trichoptera:Lepidostomatidae:Lepidostoma_juv,Chelicerata:Unknown:Hydracarina,Plecoptera: Perlodidae:Isoperla_juv,Trichoptera:Unknown:Polycentropidae_juv,Plecoptera:Perlidae:Agnetia_juv,Plecoptera:Perlidae:Agnetia_ad,Coleoptera:Elmidae_imago_sp:Elmidae_imago_sp,Diptera:Unknown:Mycetophylidae_imago,Plecoptera:Chloropelidae:Chloroperlidae_sp_juv,Diptera:Sciomyzidae_L:Sciomyzidae_L,Ephemeroptera:Heptageniidae:Heptageniidae_juv,Trichoptera:Polycentopodiidae:Polycentropus_juv,Chironomidae:Chironomidae:Orthocladiinae_IV,Trichoptera:Phryganidae:Phryganidae_pup,Chironomidae:Chironomidae:Tanypodinae_sp_IV,Plecoptera: Perlodidae:Calliperla_juv,Diptera:Simuliidae:Simulium,Diptera:Ceratopogonidae:Ceratopogonida_l,Unknown:Limoniidae:Polymera_l,Diptera:Limoniidae:Hexatoma_l,Trichoptera:Polycentropodidae:Neuriclipsis_juv,Coleoptera:Staphylinidae:Bledius_imago,Coleoptera:Elmidae:Rhizelmis_L,Unknown:Elmidae:Narpus_l,Trichoptera:Unknown:Trichoptera_juv_sp,Unknown:Unknown:Unknown,Coleoptera:Unknown:Staphylinidae_imago,Ephemeroptera:Heptageniidae:Cinygma_ad,Unknown:Leptophlebiidae:Neochoroterpes_juv,Unknown:Cyphoderidae:Cyphoderus,Plecoptera:Perlidae:Perlidae_juv,Plecoptera:Perlodidae:Perlodididae_juv,Coleoptera:Elmidae_l:Elmidae_l,Ephemeroptera:Leptophlebidae:Leptophlebia_ad,Ephemeroptera:Baetidae:Baetis_ad,Ephemeroptera:Baetidae:Baetis_juv,Coleoptera:Elmidae:Lara_l,Trichoptera:Lepidostomatidae:Theliopsyche,Chironomidae:Chironomidae:Pseudodiamesa_IV,Plecoptera:Unknown:Plecoptera_juv_sp,Ephemeroptera:Heptageniidae:Epeorus_ad,Chironomidae:Chironomidae:Brillia_IV,Unknown:Heteroceridae:Heteroceridae_sp_L,Chironomidae:Chironomidae:Diamesa_IV,Podura:Unknown:Hypogasturid_Collembola,Coleoptera:Psephenidae:Psephenus_imago,Coleoptera:Staphylinidae:Psammatobledius/Microbledius_imago,Coleoptera:Carabidae:Carabidae,Trichoptera:Philopotamidae:Dolophilodes_juv,Coleoptera:Dytiscidae:Dytiscidae_larv_juv,Chironomidae:Chironomidae:Eukiefferiella_III,Coleoptera:Hydrophilidae:Hydrophilidae_IMAGO,Chironomidae:Chironomidae:Synorthocladius_IV,Megaloptera:Sialidae:Sialis_l
76,S_76,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,3,2,1,0,0,0,0,0,0
82,S_82,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,S_83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
155,S_155,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,S_156,0,4,1,0,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Site 160,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
162,162,3,2,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,S_163,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,WS2 or 164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
165,S_165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
169,169,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
170,S_170,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,2,1,1,0,0
